Crop year,,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
"Lao, People's Dem. Rep. of",(R),,,,,,,,,171,239,212,258,402,361,379,280,391,393,406,434,544,514,541,538,499,511,438,475
Liberia,(R),3,3,3,5,5,5,5,5,18,12,12,12,12,5,6,5,7,7,12,13,10,10,10,6,7,11,5,7
Mexico,(A),"4,674","4,727","3,401","5,023","4,159","5,300","5,110","4,802","4,801","6,219","4,815","4,438","4,351","4,201","3,867","4,225","4,200","4,150","4,651","4,109","4,001","4,561","4,327","3,916","3,591","2,903","3,781","4,000"
Nepal,(A),,,,,,,,,,,,,,1,1,1,2,1,1,1,3,2,1,1,2,2,1,2
Nicaragua,(A),461,707,547,706,683,985,793,"1,084","1,073","1,554","1,572","1,079","1,170","1,509","1,068","1,432","1,428","1,906","1,445","1,871","1,638","2,193","1,873","2,060","1,898","2,134","2,573","2,500"
Nigeria,(R),29,44,49,45,52,53,46,45,53,45,49,44,50,46,45,69,51,42,50,34,42,47,41,41,43,41,41,42
Panama,(A),215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,127,103,106
Sierra Leone,(R),43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,46,36,43
Sri Lanka,(R),96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,37,36,36,36,33
Thailand,(R/A),757,"1,469","1,255","1,275","1,399","1,317","1,404","1,293",916,"1,273","1,692",715,732,827,884,"1,064",822,650,675,795,828,831,608,638,785,997,664,500
Togo,(R),161,433,86,195,176,84,291,221,321,263,197,112,68,144,166,140,134,125,138,202,160,160,84,172,143,81,22,55
Trinidad & Tobago,(R),15,18,14,16,18,18,18,19,17,17,16,16,17,16,15,15,12,12,11,11,10,11,12,12,12,12,12,12
Uganda,(R/A),"1,955","2,088","2,185","3,142","2,393","3,244","3,419","3,440","3,386","2,862","3,401","3,158","2,890","2,599","2,613","2,175","2,894","3,490","3,335","2,894","3,267","3,115","3,914","3,633","3,744","3,650","4,962","5,100"
Venezuela,(A),"1,122",941,"1,215","1,333",989,"1,467","1,206",951,"1,597","1,367","1,450","1,265","1,484","1,421","1,327","1,506","1,571","1,520",932,"1,214","1,202",902,952,804,650,501,525,550
Vietnam,(R/A),"1,310","1,438","2,340","3,020","3,632","3,970","5,752","6,979","7,052","11,631","14,841","13,093","11,574","15,337","14,370","13,842","19,340","16,405","18,438","17,825","20,000","26,500","23,402","27,610","26,500","28,737","25,540","28,500"
Yemen,(A),,,,,,,,,69,61,64,62,57,193,206,203,207,198,220,135,161,185,188,187,183,188,151,150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
